year_month,observed_q_max_cms,observed_q_min_cms,simulated_q_max_cms,simulated_q_min_cms,q_max_perc_change,q_min_perc_change
1992_02,1288.414,10.562,434.7,37.79,-66.26084472848012,257.79208483241814
1992_03,549.346,61.447,315.4,145.7,-42.58627531646722,137.11491203801646
1992_04,2344.631,8.778,1419,80.67,-39.478749534574945,819.0020505809979
1992_05,336.97,64.845,483.3,115.5,43.42523073270617,78.11704834605598
1992_06,948.613,47.006,679.9,153.6,-28.326936274328947,226.7667957282049
1992_07,215.774,9.486,156.2,102.2,-27.60944321373289,977.3771874341132
1992_08,269.576,7.985,329.7,94.97,22.30317238923345,1089.355040701315
1992_09,154.893,9.996,306.1,66.53,97.62029271819902,565.5662264905963
1992_10,549.346,12.006,1005,59.06,82.94481073858734,391.9207063135099
1992_11,914.633,34.83,672.6,102.3,-26.46230783275915,193.71231696813095
1992_12,515.366,250.321,370.9,186.8,-28.03172890722322,-25.37581745039369
1993_01,1362.038,144.699,842.5,218,-38.14416337870162,50.65757192516879
1993_02,557.841,196.802,502.7,343.7,-9.884716254273176,74.64253412058821
1993_03,2395.601,365.287,1461,375.6,-39.013216307724036,2.82325951922736
1993_04,1843.424,90.897,1337,410.4,-27.4719218150572,351.50004950658433
1993_05,733.405,23.418,677.4,268.7,-7.636299179852878,1047.407976770006
1993_06,272.408,8.58,633.8,156.2,132.66570732137086,1720.51282051282
1993_07,200.483,9.231,214.3,97.99,6.891856167355839,961.5317950384574
1993_08,156.592,8.184,205.2,75.95,31.041177071625608,828.0303030303031
1993_09,125.16,8.212,161,61.31,28.63534675615213,646.590355577204
1993_10,205.863,6.654,100.1,32.76,-51.37542929035329,392.3354373309287
1993_11,223.703,6.909,371.3,30.08,65.97899894055959,335.3741496598639
1993_12,288.831,9.09,224.6,86.23,-22.238263898265775,848.6248624862487
1994_01,730.573,31.998,394.1,92.69,-46.05604094320485,189.67435464716542
1994_02,792.87,109.02,497.7,177.7,-37.228044950622426,62.997615116492376
1994_03,2067.126,111.568,1070,211.3,-48.237311126656046,89.39122328983223
1994_04,849.504,9.798,801.7,207.8,-5.627283685538853,2020.840987956726
1994_05,233.897,5.89,338.2,142.1,44.593560413344335,2312.5636672325977
1994_06,801.365,9.033,416.5,130.1,-48.026180329812256,1340.2745488763424
1994_07,458.732,9.713,624.9,117.4,36.223328653767325,1108.6893853598274
1994_08,603.148,8.863,501.3,112.8,-16.886071080398178,1172.7067584339388
1994_09,302.99,8.467,399.3,80.43,31.786527608171887,849.9232313688437
1994_10,221.721,6.598,154.6,80.27,-30.272730142837172,1116.5807820551684
1994_11,272.408,6.371,146.3,56.8,-46.29379460221432,791.5397896719509
1994_12,281.752,39.644,236.5,61.61,-16.060933019109005,55.408132378165675
1995_01,1127.009,10.166,595.3,61.15,-47.178771420636394,501.514853433012
1995_02,1880.236,66.261,975.7,134.3,-48.10757798489126,102.68332805119154
1995_03,855.167,80.137,522.5,233.1,-38.90082288020936,190.87687335438062
1995_04,151.495,9.203,230.9,159.4,52.41427109805604,1632.0438987286757
1995_05,229.649,8.807,251.9,119.8,9.689134287543165,1260.2815941864424
1995_06,883.484,10.704,603.1,122.8,-31.736171792584813,1047.2346786248131
1995_07,971.266,11.497,519.1,166.9,-46.55429099752282,1351.6830477515875
1995_08,1308.236,6.683,1607,77.5,22.83716393678204,1059.6588358521624
1995_09,342.633,29.449,641.9,124.7,87.3433090216062,323.44391999728344
1995_10,1509.285,108.453,1069,95.36,-29.17176013807863,-12.07251067282602
1995_11,1090.197,200.766,623.3,226.2,-42.82684689097475,12.668479722662203
1995_12,297.326,13.196,252.9,174.5,-14.941848341551028,1222.3704152773569
1996_01,1783.958,27.467,748,158.3,-58.07076175560187,476.32795718498573
1996_02,1265.761,261.647,1044,288.9,-17.519974149938257,10.415942089915033
1996_03,925.959,116.665,506.8,250.4,-45.26755504293386,114.6316375948228
1996_04,464.396,16.707,410.3,185.6,-11.648679144523209,1010.9115939426588
1996_05,705.088,49.554,378.7,120.9,-46.29039212126713,143.97626831335512
1996_06,455.9,9.429,295.3,90.26,-35.227023470059216,857.2595185067346
1996_07,163.388,6.258,165.5,64.1,1.2926285896149012,924.2889101949503
1996_08,569.168,29.449,300.5,108.1,-47.20363759030726,267.0752826921118
1996_09,824.019,12.459,886.9,102.5,7.631013362555956,722.6984509190144
1996_10,645.623,9.061,660.6,83.57,2.319774853126356,822.3043814148547
1996_11,266.178,20.133,183.6,81.23,-31.023600748371393,303.4669448169672
1996_12,495.544,83.535,313.5,147.5,-36.73619295158452,76.57269408032562
1997_01,707.92,31.432,358.5,143.7,-49.35868459712962,357.17739882921865
1997_02,1294.078,222.004,728.5,225.5,-43.7050935105921,1.5747464009657528
1997_03,770.217,317.148,542.7,294.1,-29.53933761524349,-7.2672695397732285
